"Category","Skill","Directory","Source","Description"
"AI、模型与内容生成","synthflow-ai-automation","synthflow-ai-automation","用户安装","Automate Synthflow AI tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","textcortex-automation","textcortex-automation","用户安装","Automate Textcortex tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","veo-automation","veo-automation","用户安装","Automate Veo tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","wolfram-alpha-api-automation","wolfram-alpha-api-automation","用户安装","Automate Wolfram Alpha API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"AI、模型与内容生成","writer-automation","writer-automation","用户安装","Automate Writer tasks via Rube MCP (Composio). Always search tools first for current schemas."
"IoT、硬件与设备","beaconstac-automation","beaconstac-automation","用户安装","Automate Beaconstac tasks via Rube MCP (Composio). Always search tools first for current schemas."
"IoT、硬件与设备","bolt-iot-automation","bolt-iot-automation","用户安装","Automate Bolt Iot tasks via Rube MCP (Composio). Always search tools first for current schemas."
"IoT、硬件与设备","vestaboard-automation","vestaboard-automation","用户安装","Automate Vestaboard tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","auth0-automation","auth0-automation","用户安装","Automate Auth0 tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","bitwarden-automation","bitwarden-automation","用户安装","Automate Bitwarden tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","brightdata-automation","brightdata-automation","用户安装","Automate Brightdata tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","cloudflare-api-key-automation","cloudflare-api-key-automation","用户安装","Automate Cloudflare API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","cloudflare-automation","cloudflare-automation","用户安装","Automate Cloudflare tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","control-d-automation","control-d-automation","用户安装","Automate Control D tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","digicert-automation","digicert-automation","用户安装","Automate Digicert tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","digital-ocean-automation","digital-ocean-automation","用户安装","Automate DigitalOcean tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","Docker Hub Automation","docker-hub-automation","用户安装","Automate Docker Hub operations -- manage organizations, repositories, teams, members, and webhooks via the Composio MCP integration."
"安全、身份、网络与基础设施","domain-name-brainstormer","domain-name-brainstormer","用户安装","Generates creative domain name ideas for your project and checks availability across multiple TLDs (.com, .io, .dev, .ai, etc.). Saves hours of brainstorming and manual checking."
"安全、身份、网络与基础设施","globalping-automation","globalping-automation","用户安装","Automate Globalping tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","google_admin-automation","google_admin-automation","用户安装","Automate Google Admin tasks via Rube MCP (Composio): user management, org units, groups, and domain administration. Always search tools first for current schemas."
"安全、身份、网络与基础设施","hookdeck-automation","hookdeck-automation","用户安装","Automate Hookdeck tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ip2location-automation","ip2location-automation","用户安装","Automate Ip2location tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ip2location-io-automation","ip2location-io-automation","用户安装","Automate Ip2location IO tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ip2proxy-automation","ip2proxy-automation","用户安装","Automate Ip2proxy tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ip2whois-automation","ip2whois-automation","用户安装","Automate Ip2whois tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ipdata-co-automation","ipdata-co-automation","用户安装","Automate Ipdata co tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ipinfo-io-automation","ipinfo-io-automation","用户安装","Automate Ipinfo IO tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","jumpcloud-automation","jumpcloud-automation","用户安装","Automate Jumpcloud tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","lastpass-automation","lastpass-automation","用户安装","Automate Lastpass tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","mx-toolbox-automation","mx-toolbox-automation","用户安装","Automate Mx Toolbox tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","nango-automation","nango-automation","用户安装","Automate Nango tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","nextdns-automation","nextdns-automation","用户安装","Automate Nextdns tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","ngrok-automation","ngrok-automation","用户安装","Automate Ngrok tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","rootly-automation","rootly-automation","用户安装","Automate Rootly tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","securitytrails-automation","securitytrails-automation","用户安装","Automate Securitytrails tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","smartproxy-automation","smartproxy-automation","用户安装","Automate Smartproxy tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","sslmate-cert-spotter-api-automation","sslmate-cert-spotter-api-automation","用户安装","Automate Sslmate Cert Spotter API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","svix-automation","svix-automation","用户安装","Automate Svix tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","virustotal-automation","virustotal-automation","用户安装","Automate Virustotal tasks via Rube MCP (Composio). Always search tools first for current schemas."
"安全、身份、网络与基础设施","wiz-automation","wiz-automation","用户安装","Automate Wiz tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","altoviz-automation","altoviz-automation","用户安装","Automate Altoviz tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","baselinker-automation","baselinker-automation","用户安装","Automate Baselinker tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","bookingmood-automation","bookingmood-automation","用户安装","Automate Bookingmood tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","booqable-automation","booqable-automation","用户安装","Automate Booqable tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","Braintree Automation","braintree-automation","用户安装","Braintree Automation: manage payment processing via Stripe-compatible tools for customers, subscriptions, payment methods, and transactions"
"财务、支付、电商与库存","brex-automation","brex-automation","用户安装","Automate Brex tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","brex-staging-automation","brex-staging-automation","用户安装","Automate Brex Staging tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","btcpay-server-automation","btcpay-server-automation","用户安装","Automate Btcpay Server tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","cloudcart-automation","cloudcart-automation","用户安装","Automate Cloudcart tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","Coinbase Automation","coinbase-automation","用户安装","Coinbase Automation: list and manage cryptocurrency wallets, accounts, and portfolio data via Coinbase CDP SDK"
"财务、支付、电商与库存","coupa-automation","coupa-automation","用户安装","Automate Coupa tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","elorus-automation","elorus-automation","用户安装","Automate Elorus tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","flutterwave-automation","flutterwave-automation","用户安装","Automate Flutterwave tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","FreshBooks Automation","freshbooks-automation","用户安装","FreshBooks Automation: manage businesses, projects, time tracking, and billing in FreshBooks cloud accounting"
"财务、支付、电商与库存","instacart-automation","instacart-automation","用户安装","Automate Instacart tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","Lemon Squeezy Automation","lemon-squeezy-automation","用户安装","Automate Lemon Squeezy store management -- products, orders, subscriptions, customers, discounts, and checkout tracking -- using natural language through the Composio MCP integration."
"财务、支付、电商与库存","lemon_squeezy-automation","lemon_squeezy-automation","用户安装","Automate Lemon Squeezy tasks via Rube MCP (Composio): products, orders, subscriptions, checkouts, and digital sales. Always search tools first for current schemas."
"财务、支付、电商与库存","lexoffice-automation","lexoffice-automation","用户安装","Automate Lexoffice tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","loyverse-automation","loyverse-automation","用户安装","Automate Loyverse tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","moneybird-automation","moneybird-automation","用户安装","Automate Moneybird tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","moonclerk-automation","moonclerk-automation","用户安装","Automate Moonclerk tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","moxie-automation","moxie-automation","用户安装","Automate Moxie tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","NetSuite Automation","netsuite-automation","用户安装","NetSuite Automation: manage customers, sales orders, invoices, inventory, and records via Oracle NetSuite ERP with SuiteQL queries"
"财务、支付、电商与库存","payhip-automation","payhip-automation","用户安装","Automate Payhip tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","plisio-automation","plisio-automation","用户安装","Automate Plisio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","precoro-automation","precoro-automation","用户安装","Automate Precoro tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","quaderno-automation","quaderno-automation","用户安装","Automate Quaderno tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","QuickBooks Automation","quickbooks-automation","用户安装","QuickBooks Automation: manage invoices, customers, accounts, and payments in QuickBooks Online for streamlined bookkeeping"
"财务、支付、电商与库存","sevdesk-automation","sevdesk-automation","用户安装","Automate Sevdesk tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","shipengine-automation","shipengine-automation","用户安装","Automate Shipengine tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","storeganise-automation","storeganise-automation","用户安装","Automate Storeganise tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","storerocket-automation","storerocket-automation","用户安装","Automate Storerocket tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","taxjar-automation","taxjar-automation","用户安装","Automate Taxjar tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","wave_accounting-automation","wave_accounting-automation","用户安装","Automate Wave Accounting tasks via Rube MCP (Composio): invoices, customers, payments, and small business accounting. Always search tools first for current schemas."
"财务、支付、电商与库存","Xero Automation","xero-automation","用户安装","Xero Automation: manage invoices, contacts, payments, bank transactions, and accounts in Xero for cloud-based bookkeeping"
"财务、支付、电商与库存","ynab-automation","ynab-automation","用户安装","Automate Ynab tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","zoho_books-automation","zoho_books-automation","用户安装","Automate Zoho Books tasks via Rube MCP (Composio): invoices, expenses, contacts, payments, and accounting. Always search tools first for current schemas."
"财务、支付、电商与库存","zoho_inventory-automation","zoho_inventory-automation","用户安装","Automate Zoho Inventory tasks via Rube MCP (Composio): items, orders, warehouses, shipments, and stock management. Always search tools first for current schemas."
"财务、支付、电商与库存","zoho_invoice-automation","zoho_invoice-automation","用户安装","Automate Zoho Invoice tasks via Rube MCP (Composio): invoices, estimates, expenses, clients, and payment tracking. Always search tools first for current schemas."
"财务、支付、电商与库存","zoho-inventory-automation","zoho-inventory-automation","用户安装","Automate Zoho Inventory tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","zoho-invoice-automation","zoho-invoice-automation","用户安装","Automate Zoho Invoice tasks via Rube MCP (Composio). Always search tools first for current schemas."
"财务、支付、电商与库存","zylvie-automation","zylvie-automation","用户安装","Automate Zylvie tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","addresszen-automation","addresszen-automation","用户安装","Automate Addresszen tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","ambee-automation","ambee-automation","用户安装","Automate Ambee tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","ambient-weather-automation","ambient-weather-automation","用户安装","Automate Ambient Weather tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","api-sports-automation","api-sports-automation","用户安装","Automate API Sports tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","bart-automation","bart-automation","用户安装","Automate Bart tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","college-football-data-automation","college-football-data-automation","用户安装","Automate College Football Data tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","expofp-automation","expofp-automation","用户安装","Automate Expofp tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","foursquare-automation","foursquare-automation","用户安装","Automate Foursquare tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","geocodio-automation","geocodio-automation","用户安装","Automate Geocodio tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","geokeo-automation","geokeo-automation","用户安装","Automate Geokeo tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","google_maps-automation","google_maps-automation","用户安装","Automate Google Maps tasks via Rube MCP (Composio): geocoding, directions, place search, and distance calculations. Always search tools first for current schemas."
"地图、位置、活动与公共数据","google-address-validation-automation","google-address-validation-automation","用户安装","Automate Google Address Validation tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","google-maps-automation","google-maps-automation","用户安装","Automate Google Maps tasks via Rube MCP (Composio): geocode addresses, search places, get directions, compute route matrices, reverse geocode, autocomplete, get place details. Always search tools first for current schemas."
"地图、位置、活动与公共数据","graphhopper-automation","graphhopper-automation","用户安装","Automate Graphhopper tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","here-automation","here-automation","用户安装","Automate Here tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","iqair-airvisual-automation","iqair-airvisual-automation","用户安装","Automate Iqair Airvisual tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","mapbox-automation","mapbox-automation","用户安装","Automate Mapbox tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","opencage-automation","opencage-automation","用户安装","Automate Opencage tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","optimoroute-automation","optimoroute-automation","用户安装","Automate Optimoroute tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","placekey-automation","placekey-automation","用户安装","Automate Placekey tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","radar-automation","radar-automation","用户安装","Automate Radar tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","route4me-automation","route4me-automation","用户安装","Automate Route4me tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","seat-geek-automation","seat-geek-automation","用户安装","Automate Seat Geek tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","stormglass-io-automation","stormglass-io-automation","用户安装","Automate Stormglass IO tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","the-odds-api-automation","the-odds-api-automation","用户安装","Automate The Odds API tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","tomtom-automation","tomtom-automation","用户安装","Automate Tomtom tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","tripadvisor-content-api-automation","tripadvisor-content-api-automation","用户安装","Automate TripAdvisor tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","weathermap-automation","weathermap-automation","用户安装","Automate Weathermap tasks via Rube MCP (Composio). Always search tools first for current schemas."
"地图、位置、活动与公共数据","yelp-automation","yelp-automation","用户安装","Automate Yelp tasks via Rube MCP (Composio). Always search tools first for current schemas."
"健康、生活与服务行业","fitbit-automation","fitbit-automation","用户安装","Automate Fitbit tasks via Rube MCP (Composio). Always search tools first for current schemas."
"健康、生活与服务行业","more-trees-automation","more-trees-automation","用户安装","Automate More Trees tasks via Rube MCP (Composio). Always search tools first for current schemas."
"健康、生活与服务行业","sensibo-automation","sensibo-automation","用户安装","Automate Sensibo tasks via Rube MCP (Composio). Always search tools first for current schemas."
"健康、生活与服务行业","strava-automation","strava-automation","用户安装","Automate Strava tasks via Rube MCP (Composio). Always search tools first for current schemas."
"教育与学习","blackboard-automation","blackboard-automation","用户安装","Automate Blackboard tasks via Rube MCP (Composio). Always search tools first for current schemas."
"教育与学习","canvas-automation","canvas-automation","用户安装","Automate Canvas tasks via Rube MCP (Composio). Always search tools first for current schemas."
"教育与学习","coassemble-automation","coassemble-automation","用户安装","Automate Coassemble tasks via Rube MCP (Composio). Always search tools first for current schemas."
"教育与学习","d2lbrightspace-automation","d2lbrightspace-automation","用户安装","Automate D2lbrightspace tasks via Rube MCP (Composio). Always search tools first for current schemas."
"教育与学习","google-classroom-automation","google-classroom-automation","用户安装","Automate Google Classroom tasks via Rube MCP (Composio). Always search tools first for current schemas."
"教育与学习","lessonspace-automation","lessonspace-automation","用户安装","Automate Lessonspace tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","anchor-browser-automation","anchor-browser-automation","用户安装","Automate Anchor Browser tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","appcircle-automation","appcircle-automation","用户安装","Automate Appcircle tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","appveyor-automation","appveyor-automation","用户安装","Automate Appveyor tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","atlassian-automation","atlassian-automation","用户安装","Automate Atlassian tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","backendless-automation","backendless-automation","用户安装","Automate Backendless tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","better-stack-automation","better-stack-automation","用户安装","Automate Better Stack tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","browserbase-tool-automation","browserbase-tool-automation","用户安装","Automate Browserbase Tool tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","browserless-automation","browserless-automation","用户安装","Automate Browserless tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","bubble-automation","bubble-automation","用户安装","Automate Bubble tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","bugbug-automation","bugbug-automation","用户安装","Automate Bugbug tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","bugherd-automation","bugherd-automation","用户安装","Automate Bugherd tasks via Rube MCP (Composio). Always search tools first for current schemas."
"开发者工具、代码与 DevOps","bugsnag-automation","bugsnag-automation","用户安装","Automate Bugsnag tasks via Rube MCP (Composio). Always search tools first for current schemas."
